id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,release_date,album_id,album_name,track_number,preview_url
1UMm1Qs3u59Wvk53zBUE8r,0.785,0.863,7,-4.599,0,0.0893,0.0883,0.0,0.0929,0.962,130.132,156501,3,True,90,2023-06-22,1vw6eLxCJRAfD6RMJTiuKZ,SABOR FRESA,1,https://p.scdn.co/mp3-preview/590ae0b69465339d97ef5db9f7e36fe0c452fbb4?cid=29942d75c20b46b9b01eb4cd31edff20
5P7kRfpLaQRQsHKhgqximh,0.827,0.699,5,-5.749,0,0.0474,0.179,0.0,0.226,0.563,118.017,258305,4,False,58,2023-09-10,0k2f6jlkFe5UzBbc1PMzVS,Rap Việt Mùa 3 (2023) - Tập 16,7,https://p.scdn.co/mp3-preview/84af5f83335319d5c2d3ad1f621a820eec9dbf33?cid=29942d75c20b46b9b01eb4cd31edff20
54zcJnb3tp9c5OVKREZ1Is,0.634,0.725,5,-4.945,0,0.0587,0.0776,0.0,0.211,0.795,159.845,154375,4,False,88,2023-08-10,0FqAaUEyKCyUNFE1uQPZ7i,MAÑANA SERÁ BONITO (BICHOTA SEASON),3,
4RvWPyQ5RL0ao9LPZeSouE,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,251489,4,False,89,1985-02-25,3myPwaMYjdwhtq0nFgeG6W,Songs From The Big Chair (Super Deluxe Edition),3,
5odlY52u43F5BjByhxg7wg,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,209260,3,False,85,2022-09-23,69AaAkdktFGnk9POmHENkT,this is what ____ feels like (Vol. 1-4),3,https://p.scdn.co/mp3-preview/bcc17f30841d6fbf3cd7954c3e3cf669f11b6a21?cid=29942d75c20b46b9b01eb4cd31edff20
71Q8QWLpvwvfQ6zM5BdCnm,0.653,0.449,6,-7.724,1,0.0438,0.533,3.17e-05,0.122,0.475,179.807,258668,4,False,55,2019-04-14,4DyctgZKkMuHCcjQ9UvJbG,Liệu Giờ,1,https://p.scdn.co/mp3-preview/d13f6159e3b31e8fdae926a667fd7172b40055a7?cid=29942d75c20b46b9b01eb4cd31edff20
0dAAZHmjRcE3yEjeBZQvCg,0.563,0.924,7,-5.154,1,0.394,0.279,0.0,0.116,0.472,129.313,255758,4,False,58,2023-08-06,4VpRy3EeRPA3hWnLp4E2wp,Rap Việt Mùa 3 (2023) - Tập 11,2,https://p.scdn.co/mp3-preview/7c4eac07f20ea2c4e357de3b799da5ab43eaf3f7?cid=29942d75c20b46b9b01eb4cd31edff20
741UUVE2kuITl0c6zuqqbO,0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,109750,4,True,92,2023-06-23,5CM66hwjlbZ06LhONWXOAs,Barbie World (with Aqua) [From Barbie The Album],1,https://p.scdn.co/mp3-preview/f654928ccaa4e6a9fb09a6eb3f208383eccc12a9?cid=29942d75c20b46b9b01eb4cd31edff20
7BqBn9nzAq8spo5e7cZ0dJ,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,220734,4,False,85,2010-10-05,1uyf3l2d4XYwiEqAb7t7fX,Doo-Wops & Hooligans,2,https://p.scdn.co/mp3-preview/6d1a901b10c7dc609d4c8628006b04bc6e672be8?cid=29942d75c20b46b9b01eb4cd31edff20
3J3nv18iIrOhca1ZWNeuyW,0.546,0.431,5,-9.566,1,0.0383,0.76,0.0,0.108,0.484,79.958,261105,4,False,57,2022-07-11,2iJcC4EmfOE36Z2gS5OiSp,Đã Lỡ Yêu Em Nhiều,1,https://p.scdn.co/mp3-preview/3e2b81c1239cc825fac6c47a68ee7aeee5d73a6b?cid=29942d75c20b46b9b01eb4cd31edff20
1Hs1uUl8o2VtDp1DABFq0O,0.813,0.682,0,-3.598,1,0.0402,0.107,0.0,0.108,0.634,120.011,338000,4,False,89,2023-06-01,6DVg3IJPFr7JZDDXYcyPbU,Los del Espacio,1,https://p.scdn.co/mp3-preview/5bbdd15509b10d1b62cf5aa43500255754e2096b?cid=29942d75c20b46b9b01eb4cd31edff20
1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947,4,False,91,2022-12-08,1nrVofqDRs7cpWXJ49qTnP,SOS,2,https://p.scdn.co/mp3-preview/4bd2dc84016f3743add7eea8b988407b1b900672?cid=29942d75c20b46b9b01eb4cd31edff20
7LVrrX8pkzI9fMF88nGabt,0.742,0.662,5,-4.651,1,0.0647,0.578,0.0,0.126,0.486,84.006,200000,4,False,60,2020-12-20,7C3WHnNZ5zcUutPtsB7KjD,Đi Về Nhà,1,https://p.scdn.co/mp3-preview/7127cd6ae874d1312242811dafa8ed3820fea6ed?cid=29942d75c20b46b9b01eb4cd31edff20
5iZHnufFUgATzrpGgH1K0W,0.662,0.205,5,-14.005,0,0.0349,0.876,0.00354,0.109,0.268,139.911,260571,4,False,65,2021-09-10,1JLUfM3IFpFyBSyhNQWkYw,Ánh Sao Và Bầu Trời,1,https://p.scdn.co/mp3-preview/1c7fe624bc5163d30532b96295695c8b1413f702?cid=29942d75c20b46b9b01eb4cd31edff20
