id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,release_date,album_id,album_name,track_number,preview_url
1vyzpZ8td4h4QNpuATl3ZX,0.639,0.872,10,-3.075,1,0.102,0.138,0.0,0.342,0.685,171.912,174070,4,False,54,2023-04-28,5hscifRFV9IXLm2mZ27fSH,fumble (feat. piri),1,https://p.scdn.co/mp3-preview/e12ed34c5de0d25e3a8ac4205d11c56928f2c634?cid=29942d75c20b46b9b01eb4cd31edff20
1TXbPx0WUaJM0fjDVs4wCD,0.691,0.639,9,-7.321,1,0.125,0.0244,0.0,0.102,0.71,141.918,183022,4,False,71,2023-10-13,7tm57crYhN6WvRfB51A7Up,Hands On Me (feat. Meghan Trainor),1,https://p.scdn.co/mp3-preview/b5e253e6b81cac1196f0f9012627db97112e51f5?cid=29942d75c20b46b9b01eb4cd31edff20
5pFKuNJdKLyMceZuopqVFF,0.254,0.796,6,-2.975,0,0.06,0.00304,0.0,0.112,0.352,86.483,187398,4,True,60,2023-01-26,0dedUKXYTEmxuhkF5yZPj3,L'Isola Delle Rose,1,
5klhicB8mfOfr5FFeYdPXp,0.613,0.89,7,-6.388,1,0.0397,0.00103,0.00436,0.613,0.258,118.024,218236,4,False,23,2023-01-20,0bTnYKeASx4Fjaf2ez2Us3,Welcome To My Island (Remix),2,https://p.scdn.co/mp3-preview/fe2408ca39b385b06027f402a06d331376368ac1?cid=29942d75c20b46b9b01eb4cd31edff20
1SRw5p2lVAi7RGlHEmZg66,0.816,0.367,2,-9.354,1,0.0588,0.314,0.0,0.0987,0.413,116.035,208630,4,False,77,2023-02-17,4XiUZULpVS6gTgKKU7KTX5,Favorite Song,1,
4ih4oGbMt9b6PbKhTPbAmw,0.496,0.357,8,-13.42,0,0.0351,0.211,1.28e-06,0.171,0.418,137.96,172555,4,False,62,2023-03-07,6aBXNHeyTnhy5PooV2izJT,Watergun,1,https://p.scdn.co/mp3-preview/913ebec94060a0b0faafa5d8ab3784b06c1972e7?cid=29942d75c20b46b9b01eb4cd31edff20
6OrCWnvAja4n5IYdzchJlH,0.8,0.733,0,-4.402,1,0.0517,0.0699,0.000801,0.439,0.921,124.986,126232,4,False,67,2023-07-07,2T7LuxZRr6SQMgABLtoYTH,Sunburn,2,https://p.scdn.co/mp3-preview/0c1c30985d768f6741629c82c65a45eba7529de2?cid=29942d75c20b46b9b01eb4cd31edff20
6C5BUMqodKquXEQjEE8EeW,0.63,0.443,7,-9.602,0,0.33,0.0688,0.0,0.185,0.405,151.978,114016,4,True,53,2023-05-26,6ciIG1XKTlVIn0Yl8rvsce,Almost Healed,16,https://p.scdn.co/mp3-preview/7d9dafc144ffd480c92e32e594debe365d408bd3?cid=29942d75c20b46b9b01eb4cd31edff20
59JXLBosh2OFLMCARkINnB,0.809,0.752,0,-4.639,1,0.0913,0.0193,5.43e-05,0.0872,0.677,98.027,124504,4,False,66,2023-07-07,2T7LuxZRr6SQMgABLtoYTH,Sunburn,8,https://p.scdn.co/mp3-preview/65d85350c89c90bcd2ba2f944628e50e112bdf9e?cid=29942d75c20b46b9b01eb4cd31edff20
4q05KbxYZ5JdkmrletgPjF,0.701,0.88,10,-4.56,0,0.0358,0.182,7.33e-06,0.0649,0.623,124.039,181958,4,False,80,2023-02-10,0kXUCfMDhIUoHOfZ7TLsoj,Whistle (feat. Calum Scott),1,
